index,store_name,city,state,date,store_segment,store_latitude,store_longitude,sales,pedidos,avg_ticket,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,y
18990,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-21,FOOD,-22.8858199,-43.2792183,286.5,6,47.75,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,222.2
19220,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-22,FOOD,-22.8858199,-43.2792183,222.2,3,74.07,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,155.8
19380,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-23,FOOD,-22.8858199,-43.2792183,155.8,2,77.9,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,185.5
19743,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-24,FOOD,-22.8858199,-43.2792183,185.5,4,46.38,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,151.8
20008,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-25,FOOD,-22.8858199,-43.2792183,151.8,2,75.9,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,204.3
20318,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-26,FOOD,-22.8858199,-43.2792183,204.3,4,51.08,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,362.0
20705,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-27,FOOD,-22.8858199,-43.2792183,362.0,7,51.71,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,171.81
21010,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-28,FOOD,-22.8858199,-43.2792183,171.81,5,34.36,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,350.8
21727,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-30,FOOD,-22.8858199,-43.2792183,350.8,6,58.47,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,134.7
21768,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-31,FOOD,-22.8858199,-43.2792183,134.7,3,44.9,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,68.2
22323,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-01,FOOD,-22.8858199,-43.2792183,68.2,3,22.73,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,217.2
22645,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-02,FOOD,-22.8858199,-43.2792183,217.2,4,54.3,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,187.9
22813,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-03,FOOD,-22.8858199,-43.2792183,187.9,2,93.95,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,331.2
23167,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-04,FOOD,-22.8858199,-43.2792183,331.2,5,66.24,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,103.0
23335,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-05,FOOD,-22.8858199,-43.2792183,103.0,2,51.5,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,135.5
23884,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-06,FOOD,-22.8858199,-43.2792183,135.5,2,67.75,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,94.4
24061,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-07,FOOD,-22.8858199,-43.2792183,94.4,3,31.47,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,239.4
24839,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-09,FOOD,-22.8858199,-43.2792183,239.4,4,59.85,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,128.8
24867,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-10,FOOD,-22.8858199,-43.2792183,128.8,2,64.4,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,230.4
25283,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-11,FOOD,-22.8858199,-43.2792183,230.4,3,76.8,128.8,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,72.9
25647,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-12,FOOD,-22.8858199,-43.2792183,72.9,1,72.9,230.4,128.8,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,74.9
25940,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-13,FOOD,-22.8858199,-43.2792183,74.9,1,74.9,72.9,230.4,128.8,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,157.7,29.4
26255,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-14,FOOD,-22.8858199,-43.2792183,29.4,1,29.4,74.9,72.9,230.4,128.8,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,259.1,76.9
26478,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-15,FOOD,-22.8858199,-43.2792183,76.9,2,38.45,29.4,74.9,72.9,230.4,128.8,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,67.0,193.6
26803,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-16,FOOD,-22.8858199,-43.2792183,193.6,3,64.53,76.9,29.4,74.9,72.9,230.4,128.8,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,182.0,199.2
27048,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-17,FOOD,-22.8858199,-43.2792183,199.2,3,66.4,193.6,76.9,29.4,74.9,72.9,230.4,128.8,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,44.5,208.1
27253,AR PAZZI ,RIO DE JANEIRO,RJ,2021-04-18,FOOD,-22.8858199,-43.2792183,208.1,5,41.62,199.2,193.6,76.9,29.4,74.9,72.9,230.4,128.8,239.4,94.4,135.5,103.0,331.2,187.9,217.2,68.2,134.7,350.8,171.81,362.0,204.3,151.8,185.5,155.8,222.2,286.5,302.7,194.3,81.9,274.1
